Trait ID	Trait	TO ID	TO name	type	MaizeGDB	Grin	Entity	Attribute		
CO_322:0000031	Silking time	TO:0000658	days to slik	superclass	47565	GRINDesc:89005|GRINDesc:89309|GRINDesc:89312	Plant	silking time		
CO_322:0000092	Turcicum leaf blight severity	TO:0000439	fungal disease resistance	subclass		GRINDesc:89009	Leaf	Turcicum leaf blight severity		
CO_322:0000159	Stem borer damage	TO:0000439	fungal disease resistance	subclass		GRINDesc:89014	Plant	Stem borer damage		
CO_322:0000085	Common rust severity	TO:0000439	fungal disease resistance	subclass		GRINDesc:89019	Leaf	Common rust severity		
CO_322:0000556	Common smut incidence	TO:0000439	fungal disease resistance	subclass		GRINDesc:89021	Plant	Common smut incidence		
CO_322:0000066	Stenocarpella stalk rot incidence	TO:0000439	fungal disease resistance	subclass		GRINDesc:89024	Plant	Stenocarpella stalk rot incidence		
CO_322:0000168	Grain type	TO:0002629	fruit morphology trait 	subclass	56380	GRINDesc:89026	Grain	type		
CO_322:0000146	Grain color	TO:0002617	fruit color	exact	56382	GRINDesc:89027	Grain	color		
CO_322:0000166	Grain row arrangement	TO:0002629	fruit morphology trait 	subclass	304924	GRINDesc:89028	Ear	grain row arrangement		
CO_322:0000167	Grain row number	TO:0000687	kernel row number per ear	exact	51580	GRINDesc:89029	Ear	grain row number		
CO_322:0000015	Ear length	TO:0000969	ear inflorescence morphology trait	subclass	78112	GRINDesc:89030	Ear	length		
CO_322:0000170	Ear diameter	TO:0000969	ear inflorescence morphology trait	subclass	78113	GRINDesc:89031	Ear	diameter		
CO_322:0000133	Grain weight	TO:0002746	fruit weight	exact	78154	GRINDesc:89032	Grain	weight		
CO_322:0000007	Plant height to insertion of first tassel branch	TO:0000797	tassel inflorescence height	subclass		GRINDesc:89033	Plant	height to insertion of first tassel branch		
CO_322:0000017	Ear height	TO:0000969	ear inflorescence morphology trait	subclass	61369	GRINDesc:89034	Plant	height to insertion of uppermost ear		
CO_322:0001085	Cob glumes color	TO:0000924	cob color	exact	67275	GRINDesc:89035	Cob glumes	color		
CO_322:0000178	Grain upper surface shape	TO:0002730	grain shape	subclass		GRINDesc:89036	Grain	upper surface shape		
CO_322:0000021	Ear number	TO:0000969	ear inflorescence morphology trait	subclass		GRINDesc:89038	Ear	number		
CO_322:0000546	Plant vigor	TO:0000133	stature or vigor trait	exact		GRINDesc:89041	Plant	vigor		
CO_322:0000034	Root lodging incidence	TO:0000068	lodging incidence	subclass		GRINDesc:89042	Plant	root lodging incidence		
CO_322:0000035	Stem lodging incidence	TO:0000068	lodging incidence	subclass		GRINDesc:89043	Plant	stem lodging incidence		
CO_322:0000059	Tillering	TO:0000346	tiller number	exact		GRINDesc:89044	Plant	tillering		
CO_322:0000186	Endosperm color	TO:0000487	endosperm color	exact		GRINDesc:89046	Endosperm	color		
CO_322:0000171	Uppermost ear shape	TO:0000969	ear inflorescence morphology trait	subclass		GRINDesc:89047	Uppermost ear	shape		
CO_322:0000190	Aleurone color	TO:0000943	aleurone layer color	exact		GRINDesc:89048	Aleurone	color		
CO_322:0000192	Pericarp color	TO:0000707	pericarp color	exact		GRINDesc:89049	Pericarp	color		
CO_322:0000533	Grain oil content	TO:0000604	fat and essential oil content	subclass	62174	GRINDesc:89051	Grain	Oil content		
CO_322:0000122	Grain protein content	TO:0000598	protein content	subclass	62407	GRINDesc:89052	Grain	Protein content		
CO_322:0000126	Grain starch content	TO:0000696	starch content	subclass	69890	GRINDesc:89053	Grain	Starch content		NOT ONLY CAUSED BY VIRUS. CAUSED BY SEVERAL PATHOGENS
CO_322:0000050	Stewarts wilt incidence	TO:0000315	bacterial disease resistance	subclass		GRINDesc:89058	Plant	Stewarts wilt incidence		
CO_322:0000088	Gray leaf spot severity	TO:0000439	fungal disease resistance	subclass		GRINDesc:89060	Leaf	Gray leaf spot severity		
CO_322:0001053	Maize dwarf mosaic virus severity	TO:0000148	viral disease resistance	subclass		GRINDesc:89063	Plant	Maize dwarf mosaic virus incidence		
CO_322:0000073	Stenocarpella ear rot severity	TO:0000439	fungal disease resistance	subclass		GRINDesc:89066	Ear	Stenocarpella ear rot severity		
CO_322:0000214	Aflatoxin content	TO:0000281	metabolite content related trait	subclass			Grain	Aflatoxin content		
CO_322:0000651	Anther Anthocyanin coloration	TO:0000187	anther color	subclass			Anther	Anthocyanin coloration		
CO_322:0000001	Anthesis silking interval	TO:0000463  	anthesis silking interval 	exact	62044		Plant	anthesis silking interval		
CO_322:0000030	Anthesis time	TO:0000629	days to tassel	exact	61370		Plant	anthesis time		
CO_322:0000058	Anthracnose leaf blight incidence	TO:0000439	fungal disease resistance	subclass			Plant	Anthracnose leaf blight incidence		
CO_322:0000128	Aphid damage	TO:0000261	insect damage resistance	subclass			Plant	Aphid damage		
CO_322:0000154	Army worm damage	TO:0000261	insect damage resistance	subclass			Plant	Army worm damage		
CO_322:0000520	Aspergillus ear rot severity	TO:0000439	fungal disease resistance	subclass			Ear	Aspergillus ear rot severity		
