id	name	path
TO:0000658	days to slik	days to slik
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0002629	fruit morphology trait 	fruit morphology trait 
TO:0002617	fruit color	fruit color
TO:0002629	fruit morphology trait 	fruit morphology trait 
TO:0000687	kernel row number per ear	kernel row number per ear
TO:0000969	ear inflorescence morphology trait	ear inflorescence morphology trait
TO:0000969	ear inflorescence morphology trait	ear inflorescence morphology trait
TO:0002746	fruit weight	fruit weight
TO:0000797	tassel inflorescence height	tassel inflorescence height
TO:0000969	ear inflorescence morphology trait	ear inflorescence morphology trait
TO:0000924	cob color	cob color
TO:0002730	grain shape	grain shape
TO:0000969	ear inflorescence morphology trait	ear inflorescence morphology trait
TO:0000133	stature or vigor trait	stature or vigor trait
TO:0000068	lodging incidence	lodging incidence
TO:0000068	lodging incidence	lodging incidence
TO:0000346	tiller number	tiller number
TO:0000487	endosperm color	endosperm color
TO:0000969	ear inflorescence morphology trait	ear inflorescence morphology trait
TO:0000943	aleurone layer color	aleurone layer color
TO:0000707	pericarp color	pericarp color
TO:0000604	fat and essential oil content	fat and essential oil content
TO:0000598	protein content	protein content
TO:0000696	starch content	starch content
TO:0000315	bacterial disease resistance	bacterial disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000148	viral disease resistance	viral disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000281	metabolite content related trait	metabolite content related trait
TO:0000187	anther color	anther color
TO:0000463  	anthesis silking interval 	anthesis silking interval 
TO:0000629	days to tassel	days to tassel
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000261	insect damage resistance	insect damage resistance
TO:0000261	insect damage resistance	insect damage resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000315	bacterial disease resistance	bacterial disease resistance
TO:0000315	bacterial disease resistance	bacterial disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000261	insect damage resistance	insect damage resistance
TO:0000261	insect damage resistance	insect damage resistance
TO:0000157	canopy temperature	canopy temperature
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000261	insect damage resistance	insect damage resistance
TO:0012002	leaf chlorophyll content	leaf chlorophyll content
TO:0000924	cob color	cob color
TO:0000328	sucrose content	sucrose content
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000242	microbial damage resistance	microbial damage resistance
TO:0000148	viral disease resistance	viral disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000261	insect damage resistance	insect damage resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000969	ear inflorescence morphology trait	ear inflorescence morphology trait
		
TO:0000439	fungal disease resistance	fungal disease resistance
		
		
		
		
TO:0000495	Chlorophyll content	Chlorophyll content
TO:0000817	inflorescence bract length	inflorescence bract length
		
TO:0000816	inflorescence bract morphology trait	inflorescence bract morphology trait
TO:0000969	ear inflorescence morphology trait	ear inflorescence morphology trait
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000969	ear inflorescence morphology trait	ear inflorescence morphology trait
		
TO:0000969	ear inflorescence morphology trait	ear inflorescence morphology trait
TO:0000969	ear inflorescence morphology trait	ear inflorescence morphology trait
TO:0000261	insect damage resistance	insect damage resistance
TO:0000261	insect damage resistance	insect damage resistance
TO:0000575	endosperm morphology trait	endosperm morphology trait
TO:0002673	amino acid content	amino acid content
TO:0000490	seed protein composition trait	seed protein composition trait
TO:0002674	tryptophan content	tryptophan content
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0002667	abscisic acid content	abscisic acid content
TO:0000607	ash content	ash content
TO:0000300	glucose content	glucose content
TO:0020089	iron content	iron content
TO:0002626	fruit length	fruit length
TO:0002673	amino acid content	amino acid content
TO:0000057	grain moisture	grain moisture
TO:0020093	nitrogen content	nitrogen content
TO:0000894	fruit number trait	fruit number trait
TO:0006002	proline content	proline content
TO:0000281	metabolite content related trait	metabolite content related trait
TO:0000489	carbohydrate composition related trait	carbohydrate composition related trait
TO:0000333	sugar content	sugar content
TO:0002746	fruit weight	fruit weight
TO:0002629	fruit morphology trait 	fruit morphology trait 
